decile,NPS,NFC,NCD,NEG,COR,UQ,total
1,0,4,0,0,0,0,4
2,0,0,0,2,0,0,2
3,0,7,1,0,0,0,8
4,0,3,1,1,1,0,6
5,0,4,0,0,0,0,4
6,0,5,2,0,0,0,7
7,0,2,1,1,1,0,5
8,0,1,0,0,0,0,1
9,0,1,0,1,0,0,2
10,2,0,0,1,1,0,4
