depth,nSessions,nSteps,nToolCalls,nSpawns,nWebFetch,nBash,inputTokens,cacheReadTokens,outputTokens,reasoningTokens,totalTokens,logicalInput,cacheHitPct,tokensPerStep,tokensPerSession,outputSharePct
0,1,338,391,16,6,168,351381,129582592,286031,98171,130220004,129933973,99.73,385266,130220004,0.22
1,16,1543,2175,45,241,1253,2448687,245680128,1518237,331205,249647052,248128815,99.01,161793,15602941,0.608
2,45,3474,5511,91,527,3774,6544438,464243328,3272495,1016136,474060261,470787766,98.61,136459,10534672,0.69
3,91,4682,8118,99,587,6533,9490151,418881792,4232094,1429372,432604037,428371943,97.78,92397,4753891,0.978
