bin,pctOfWork,nSteps,newArtefacts,newHosts,newQueries,cumArtefacts,sessionsActive,meanDepth
1,10%,1003,51,428,249,51,45,1.82
2,20%,1004,69,145,138,120,36,2.45
3,30%,1004,28,95,233,148,69,2.06
4,40%,1003,23,244,577,171,84,2.55
5,50%,1004,17,210,400,188,95,2.54
6,60%,1004,45,199,298,233,96,2.65
7,70%,1003,32,107,179,265,86,2.7
8,80%,1004,44,106,152,309,64,2.64
9,90%,1004,43,48,105,352,51,2.47
10,100%,1004,38,66,90,390,23,2.13
