phase,rootTurns,rootTokens,childTokens,totalTokens,childSessionsAlive,rootSharePct
P1 topic-1 build (turns 1-6),1-6,26251407,282800050,309051457,47,8.5
P2 topic-2 build (turn 7),7-7,33902574,866428406,900330980,103,3.8
P3 topic-2 extension (turns 8-14),8-14,47212080,583613338,630825418,55,7.5
P4 finalisation (turns 15-18),15-18,22853943,77466051,100319994,9,22.8
