start_time_iso,end_time_iso,model,request_count,input_cache_hit_tokens,input_cache_miss_tokens,output_tokens,cost_usd,currency
2026-09-25T10:00:00+02:00,2026-09-25T11:00:00+02:00,deepseek-flash,3044,301391342,8750808,2766616,3.876765,USD
2026-09-25T11:00:00+02:00,2026-09-25T12:00:00+02:00,deepseek-flash,7340,957995904,12929322,6838994,8.916782,USD
2026-09-25T12:00:00+02:00,2026-09-25T13:00:00+02:00,deepseek-flash,398,52629376,551434,358751,0.455854,USD
